연번,승인번호,통계조사명,통계분야,통계작성기관,통계작성기관성격,서비스 시계열,통계 작성주기,계속여부,자료제공방법,자료제공처,비고
1,93001,가계금융·복지조사(패널),가계소비(소득),통계청/한국은행/금융감독원,중앙행정기관,2010~2015,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
2,10106,가계동향조사,가계소비(소득),통계청,중앙행정기관,1990~2015,분기,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
3,,가계자산조사,가계소비(소득),통계청,중앙행정기관,2006,1년,중지통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,가계금융조사로 통합됨에 따른 중지
4,,가구소비실태조사,가계소비(소득),통계청,중앙행정기관,"1996, 2000",4년,중지통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
5,10114,건설업조사,기업경영,통계청,중앙행정기관,2000~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
6,10171,경제총조사,서비스,통계청,중앙행정기관,2010,５년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
7,10104,경제활동인구조사,고용,통계청,중앙행정기관,1986~2016,월,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
8,10109,광업제조업조사,광공업,통계청,중앙행정기관,1982~2009/2011~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
9,10115,국내인구이동통계,인구,통계청,중앙행정기관,1995~2015,월,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
10,10166,기업활동조사,기업경영,통계청,중앙행정기관,2006~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
11,,녹색생활조사,환경,통계청,중앙행정기관,"2011, 2013",,중지통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,녹색생활조사 효율화 관련 전문가 의견 및 국가통계위원회 안건상정 결과로 중지
12,10142,농가경제조사,가계소비(소득),통계청,중앙행정기관,1998~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
13,10145,농림어업조사,농림,통계청,중앙행정기관,2002~2004/2006~2009/2011~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
14,10141,농림어업총조사,농림,통계청,중앙행정기관,1990~2010,５년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
15,,농어업법인조사,농림어업,통계청,중앙행정기관,2001~2014,1년,중지통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,2016년부터 농업법인조사-어업법인조사로 나뉨
16,11433,농업면적조사,농림,통계청,중앙행정기관,2010~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
17,11404,농작물생산조사,농림,통계청,중앙행정기관,2008~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
18,10143,농축산물생산비조사,농림,통계청,중앙행정기관,2003~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
19,10126,도소매업조사,도소매,통계청,중앙행정기관,1997~2009/2011~2014,１년,계속통계,다운로드(시스템 로그인 후 이용 가능),https://mdis.kostat.go.kr,
