도서관명,시도명,시군구명,도서관유형,휴관일,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
동탄복합문화센터도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,930,117749,90,2775,5,14,경기도 화성시 노작로 134(반송동),화성시문화재단,031-8015-8200,40397,2600,http://www.hscitylib.or.kr,37.200621,127.0746292,2015-08-17
병점도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,456,112079,157,3329,5,14,경기도 화성시 병점3로 132-6(병점동),화성시문화재단,031-226-1822,49171,957.01,http://www.hscitylib.or.kr,37.212431,127.0461018,2015-08-17
두빛나래어린이도서관,경기도,화성시,어린이도서관,"2,4주 월요일, 국가지정공휴일",9:00,18:00,62,48741,41,1448,5,14,경기도 화성시 동탄숲속로 69-14(능동),화성시문화재단,031-8003-0748,13593,707,http://www.hscitylib.or.kr,37.209397,127.0566519,2015-08-17
봉담도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,350,70857,93,1571,5,14,경기도 화성시 봉담읍 샘마을 1길 8-4,화성시문화재단,031-227-7281,2394,1286,http://www.hscitylib.or.kr,37.219457,126.9491345,2015-08-17
삼괴도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,192,85113,74,3220,5,14,경기도 화성시 우정읍 쌍봉로 109-26,화성시문화재단,031-358-2101,6612,1065,http://www.hscitylib.or.kr,37.089317,126.8142756,2015-08-17
둥지나래어린이도서관,경기도,화성시,어린이도서관,"2,4주 월요일, 국가지정공휴일",9:00,18:00,82,48910,60,1132,5,14,경기도 화성시 향남읍 행정중앙2로 88,화성시문화재단,031-353-8162,2216,899,http://www.hscitylib.or.kr,37.128169,126.9241298,2015-08-17
송산도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,406,40221,81,1625,5,14,경기도 화성시 송산면 삼일공원로87,화성시문화재단,031-355-5798,8070,1346,http://www.hscitylib.or.kr,37.21697,126.7390067,2015-08-17
남양도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,190,144324,70,3907,5,14,경기도 화성시 대학길 27(남양읍),화성시문화재단,031-356-5241,3405,674,http://www.hscitylib.or.kr,37.209957,126.8266235,2015-08-17
태안도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,176,105389,67,4173,5,14,경기도 화성시 용주로 22(안녕동),화성시문화재단,031-223-4764,902,902,http://www.hscitylib.or.kr,37.206135,127.0145273,2015-08-17
정남도서관,경기도,화성시,공공도서관,"2,4주 월요일, 국가지정공휴일",9:00,22:00,139,18903,78,370,5,14,경기도 화성시 정남면 만년로527,화성시문화재단,031-8059-4946,1714,567,http://www.hscitylib.or.kr,37.168373,126.9830113,2015-08-17
샘내작은도서관,경기도,화성시,작은도서관,"매주 일,월요일, 국가지정공휴일",9:00,18:00,26,12203,6,0,5,14,경기도 화성시 매송면 매송고색로 375(천천리),화성시문화재단,031-292-7307,211.76,211.76,http://www.hscitylib.or.kr,37.243898,126.9465402,2015-08-17
기아행복마루작은도서관,경기도,화성시,작은도서관,"매주 일,월요일, 국가지정공휴일",9:00,18:00,80,8557,6,294,5,14,경기도 화성시 우정읍 화산리 617-14 기아 카렌스,화성시문화재단,031-358-2597,162,162,http://www.hscitylib.or.kr,37.064631,126.79559,2015-08-17
장항공공도서관,충청남도,서천군,공공도서관,매주 월요일,09:00,22:00,90,66935 ,68,0,5,14,충청남도 서천군 장항읍 성화로 26-2,전북대학교 산학협력단,041-956-5016,826,1084,http://www.jhlib.kr,36.015272,126.68552,2016-05-20
중앙도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",07:00,24:00,556,264510 ,168,3038 ,7,21,경기도 용인시 처인구 명지로 27(역북동),경기도 용인시청,031-324-4610,9944,3608,https://www.yonginlib.go.kr/yongin/main.asp,37.2334807808,127.190401464,2016-03-31
포곡도서관,경기도,용인시,공공도서관,"1,3주 월요일, 국가지정공휴일",07:00,22:00,358,126615 ,82,2644 ,7,21,경기도 용인시 처인구 포곡읍 포곡로278번길 8,경기도 용인시청,031-324-4631,2747,2733,https://www.yonginlib.go.kr/pogok/main.asp,37.2789152841,127.232565489,2016-03-31
모현도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",07:00,22:00,250,63378 ,65,747,7,21,경기도 용인시 처인구 모현면 백옥대로 2378,경기도 용인시청,031-324-4351,1627,2728,https://www.yonginlib.go.kr/mohyeon/main.asp,37.3356095931,127.249625907,2016-03-31
보라도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",07:00,24:00,540,76566 ,114,678,7,21,경기도 용인시 기흥구 한보라2로 116(보라동),경기도 용인시청,031-324-4331,87722,4316,https://www.yonginlib.go.kr/bora/main.asp,37.2484148585,127.109024579,2016-03-31
디지털도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",10:00,19:00,44,9093 ,27,25554 ,7,21,경기도 용인시 처인구 중부대로 1199(삼가동),경기도 용인시청,031-324-4621,81403,382.8,https://www.yonginlib.go.kr/digitallib/main.asp,37.2408670611,127.177968818,2016-03-31
청덕도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",09:00,22:00,174,24304,63,393,7,21,경기도 용인시 기흥구 구성1로 44(청덕동),경기도 용인시청,031-284-1763,3366,1981,http://www.yonginlib.go.kr/cheongdeok/main.asp,37.2927981654,127.147428825,2016-03-31
수지도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",07:00,24:00,848,194473 ,119,2718 ,7,21,경기도 용인시 수지구 문정로7번길 23(풍덕천동),경기도 용인시청,031-324-8971,15538,5059,https://www.yonginlib.go.kr/suji/main.asp,37.3202760199,127.09468737,2016-03-31
구성도서관,경기도,용인시,공공도서관,"1,3주 월요일, 국가지정공휴일",07:00,24:00,493,116318 ,90,3374 ,7,21,경기도 용인시 기흥구 구성로77번길 17(언남동),경기도 용인시청,031-324-4131,8937,2775,https://www.yonginlib.go.kr/guseong/main.asp,37.2967623035,127.11898327,2016-03-31
죽전도서관,경기도,용인시,공공도서관,"1,3주 월요일, 국가지정공휴일",07:00,24:00,471,124284 ,110,2521 ,7,21,경기도 용인시 수지구 대지로 89(죽전동),경기도 용인시청,031-324-4641,6490,4965,https://www.yonginlib.go.kr/jukjeon/main.asp,37.3304325042,127.118625629,2016-03-31
동백도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",07:00,24:00,481,109227 ,105,3118 ,7,21,경기도 용인시 기흥구 동백3로 80(동백동),경기도 용인시청,031-324-4651,41326,5560,https://www.yonginlib.go.kr/dongbaek/main.asp,37.274147384,127.158049652,2016-03-31
기흥도서관,경기도,용인시,공공도서관,"1,3주 월요일, 국가지정공휴일",07:00,24:00,517,118125 ,107,2327 ,7,21,경기도 용인시 기흥구 기흥로116번길 10(신갈동),경기도 용인시청,031-324-4753,13200,6607,https://www.yonginlib.go.kr/giheung/,37.2861786012,127.11359881,2016-03-31
흥덕도서관,경기도,용인시,공공도서관,"2,4주 월요일, 국가지정공휴일",07:00,24:00,540,52908 ,105,343,7,21,경기도 용인시 기흥구 흥덕중앙로 153(영덕동),경기도 용인시청,031-324-4141,3674,4494,https://www.yonginlib.go.kr/heungdeok/,37.2749836149,127.083928183,2016-03-31
상현도서관,경기도,용인시,공공도서관,"1,3주 월요일, 국가지정공휴일",07:00,24:00,580,51978 ,106,456,7,21,경기도 용인시 수지구 법조로 232(상현동),경기도 용인시청,031-324-4121,5435,6813,https://www.yonginlib.go.kr/sanghyeon/,37.2999596329,127.07428762,2016-03-31
구갈희망누리도서관,경기도,용인시,공공도서관,"매주 일요일, 국가지정공휴일",09:00,18:00,64,35088 ,12,0,7,21,경기도 용인시 기흥구 갈곡로12번길 1(구갈동),경기도 용인시청,031-324-6561,357,264,https://www.yonginlib.go.kr/gugal/,37.2727439344,127.129557373,2016-03-31
꿈나무영어도서관,대구광역시,남구,작은도서관,"매주 토,일요일",10:00,15:00,27,3200 ,0,0,1,7,대구광역시 남구 이천로25길48,,053-475-1777,,,,35.852154006945035,128.59526427085555,2015-08-31
꿈이커가는도서관,대구광역시,남구,작은도서관,매주 일요일,10:00,15:00,30,6000 ,1,0,3,7,대구광역시 남구 골안길18,,053-654-4113,,,,35.83753406439022,128.56121725614722,2015-08-31
대명4동꿈틀작은도서관,대구광역시,남구,작은도서관,매주 일요일,9:00,18:00,40,7988 ,34,0,20,10,대구광역시 남구 성명공원길18,,053-621-8667,,,,35.84793266323724,128.57232569675787,2015-08-31
다문화어린이도서관모두,대구광역시,남구,작은도서관,"매주 토,일요일",9:00,16:00,22,17194 ,0,0,15,10,대구광역시 남구 이천로10,,053-471-4250,,,,35.84169729701819,128.59823340162407,2015-08-31
이천행복작은도서관,대구광역시,남구,작은도서관,"매주 토,일요일",9:00,16:00,14,4574 ,0,0,8,7,대구광역시 남구 명덕로68길43,,053-664-3717,,,,35.85287318632543,128.6062148970511,2015-08-31
