시도,시군구,읍면동,리,하수처리시설명,하수처리_시설코드,분뇨처리시설명,분뇨처리_시설코드,지정내역,가정용 물사용량(m3/일) 합계,시가_하수처리지역(분류식),시가_하수처리지역(합류식),시가_하수미처리지역(오수),시가_하수미처리지역(정화조),시가_하수미처리지역(수거식),비시가_하수처리지역(분류식),비시가_하수처리지역(합류식),비시가_하수미처리지역(오수),비시가_하수미처리지역(정화조),비시가_하수미처리지역(수거식),영업용 물사용량(m3/일) 합계,시가_하수처리지역,시가_하수미처리지역,비시가_하수처리지역,비시가_하수미처리지역
서울특별시,종로구,청운동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,524.77,0,451.3,0,0,0,0,73.47,0,0,0,481.54,414.12,0,67.42,0
서울특별시,종로구,신교동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,305.19,0,305.19,0,0,0,0,0,0,0,0,2207.47,2207.47,0,0,0
서울특별시,종로구,궁정동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,114.93,0,79.3,0,0,0,0,35.63,0,0,0,29.09,20.07,0,9.02,0
서울특별시,종로구,효자동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,134.35,0,134.35,0,0,0,0,0,0,0,0,119.15,119.15,0,0,0
서울특별시,종로구,창성동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,128.65,0,128.65,0,0,0,0,0,0,0,0,178.12,178.12,0,0,0
서울특별시,종로구,통의동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,149.14,0,149.14,0,0,0,0,0,0,0,0,97.96,97.96,0,0,0
서울특별시,종로구,적선동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,20,0,20,0,0,0,0,0,0,0,0,99.63,99.63,0,0,0
서울특별시,종로구,통인동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,849.41,0,849.41,0,0,0,0,0,0,0,0,118.65,118.65,0,0,0
서울특별시,종로구,누상동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,967.02,0,967.02,0,0,0,0,0,0,0,0,1658.88,1658.88,0,0,0
서울특별시,종로구,누하동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,272.91,0,272.91,0,0,0,0,0,0,0,0,303.41,303.41,0,0,0
서울특별시,종로구,옥인동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,620.56,0,614.35,0,0,0,0,6.21,0,0,0,579.44,573.65,0,5.79,0
서울특별시,종로구,체부동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,267.26,0,267.26,0,0,0,0,0,0,0,0,20.13,20.13,0,0,0
서울특별시,종로구,필운동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,326.67,0,326.67,0,0,0,0,0,0,0,0,344.2,344.2,0,0,0
서울특별시,종로구,내자동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,66.97,0,66.97,0,0,0,0,0,0,0,0,3503.06,3503.06,0,0,0
서울특별시,종로구,사직동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,940.04,0,883.64,0,0,0,0,56.4,0,0,0,245.48,230.75,0,14.73,0
서울특별시,종로구,도렴동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,9.37,0,9.37,0,0,0,0,0,0,0,0,67.5,67.5,0,0,0
서울특별시,종로구,당주동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,134.89,0,134.89,0,0,0,0,0,0,0,0,74.61,74.61,0,0,0
서울특별시,종로구,내수동,,중랑물재생센터,112000W01,난지물재생센터(분뇨),412810F01,일반지역,527.61,0,527.61,0,0,0,0,0,0,0,0,1156.98,1156.98,0,0,0
