시도,시군구,읍면동,리,행정구역코드,종말처리시설명,업소수(개)_총계,폐수발생량(㎥/일)_총계,폐수방류량(㎥/일)_총계,BOD발생부하량(kg/일)_총계,TN발생부하량(kg/일)_총계,TP발생부하량(kg/일)_총계,BOD배출부하량(kg/일)_총계,TN배출부하량(kg/일)_총계,TP배출부하량(kg/일)_총계,업소수(개)_종말처리장 연계,폐수발생량(㎥/일)_종말처리장 연계,폐수방류량(㎥/일)_종말처리장 연계,BOD발생부하량(kg/일)_종말처리장 연계,TN발생부하량(kg/일)_종말처리장 연계,TP발생부하량(kg/일)_종말처리장 연계,BOD배출부하량(kg/일)_종말처리장 연계,TN배출부하량(kg/일)_종말처리장 연계,TP배출부하량(kg/일)_종말처리장 연계,업소수(개)_직접 방류,폐수발생량(㎥/일)_직접 방류,폐수방류량(㎥/일)_직접 방류,BOD발생부하량(kg/일)_직접 방류,TN발생부하량(kg/일)_직접 방류,TP발생부하량(kg/일)_직접 방류,BOD배출부하량(kg/일)_직접 방류,TN배출부하량(kg/일)_직접 방류,TP배출부하량(kg/일)_직접 방류,업소수(개)__위탁 처리,폐수발생량(㎥/일)__위탁 처리,폐수방류량(㎥/일)_위탁 처리,BOD발생부하량(kg/일)_위탁 처리,TN발생부하량(kg/일)_위탁 처리,TP발생부하량(kg/일)_위탁 처리,BOD배출부하량(kg/일)_위탁 처리,TN배출부하량(kg/일)_위탁 처리,TP배출부하량(kg/일)_위탁 처리
서울특별시,종로구,궁정동,,1111010300,중랑물재생센터,1,3,3,0.23,0.02,0.02,0.02,0.01,0,1,3,3,0.23,0.02,0.02,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,효자동,,1111010400,중랑물재생센터,1,5,5,0.38,0.03,0.03,0.22,0.01,0,1,5,5,0.38,0.03,0.03,0.22,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,창성동,,1111010500,중랑물재생센터,1,7,7,0.54,0.06,0.09,0.44,0.06,0.05,1,7,7,0.54,0.06,0.09,0.44,0.06,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,누하동,,1111011000,중랑물재생센터,1,5,5,0.38,0.1,0.03,0.09,0.09,0,1,5,5,0.38,0.1,0.03,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,옥인동,,1111011100,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,종로구,내자동,,1111011400,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,종로구,당주동,,1111011700,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
서울특별시,종로구,신문로1가,,1111012000,중랑물재생센터,1,5,5,0.38,0.04,0.07,0.32,0.04,0.04,1,5,5,0.38,0.04,0.07,0.32,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,수송동,,1111012400,중랑물재생센터,1,8,8,0.61,0.06,0.1,0.5,0.06,0.06,1,8,8,0.61,0.06,0.1,0.5,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시,종로구,관훈동,,1111012800,,1,292.9,292.9,2.34,1.9,0.15,0.29,1.53,0.15,0,0,0,0,0,0,0,0,0,1,292.9,292.9,2.34,1.9,0.15,0.29,1.53,0.15,0,0,0,0,0,0,0,0,0
서울특별시,종로구,견지동,,1111012900,중랑물재생센터,1,6.5,6.5,2.08,0.81,0,0.52,0.39,0,1,6.5,6.5,2.08,0.81,0,0.52,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
