행정구역코드,시도,시군구,읍면동,리,합계(㎡),전,답,과수원,목장용지,임야,광천지,염전,대지,공장용지,학교용지,주차장,주유소용지,창고용지,도로,철도용지,제방,하천,구거,유지,양어장,수도용지,공원,체육용지,유원지,종교용지,사적지,묘지,잡종지
1111010100,서울특별시,종로구,청운동,,"797,033",0,0,0,0,"438,821",0,0,"177,982",0,"101,723",0,0,0,"48,604",0,0,"3,862","3,729",0,0,0,"22,313",0,0,0,0,0,0
1111010200,서울특별시,종로구,신교동,,"99,144",0,0,0,0,"6,344",0,0,"40,096",0,"37,242","1,971",0,0,"10,229",0,0,831,441,0,0,0,"1,558",0,0,343,89,0,0
1111010300,서울특별시,종로구,궁정동,,"73,043",0,0,0,0,0,0,0,"36,054",0,0,0,0,0,"14,837",0,0,0,334,0,0,0,0,0,0,0,"21,818",0,0
1111010400,서울특별시,종로구,효자동,,"59,136",0,0,0,0,0,0,0,"44,192",0,0,787,0,0,"12,862",0,0,430,865,0,0,0,0,0,0,0,0,0,0
1111010500,서울특별시,종로구,창성동,,"59,706",0,0,0,0,0,0,0,"43,559",0,0,0,0,0,"14,470",0,0,0,"1,033",0,0,0,0,0,0,645,0,0,0
1111010600,서울특별시,종로구,통의동,,"62,960",0,0,0,0,0,0,0,"44,623",0,0,0,0,0,"17,048",0,0,"1,108",182,0,0,0,0,0,0,0,0,0,0
1111010700,서울특별시,종로구,적선동,,"43,132",0,0,0,0,0,0,0,"22,466",0,0,"2,969",0,0,"16,030",149,0,638,879,0,0,0,0,0,0,0,0,0,0
1111010800,서울특별시,종로구,통인동,,"50,317",0,0,0,0,0,0,0,"38,935",0,0,0,0,0,"9,989",0,0,727,665,0,0,0,0,0,0,0,0,0,0
1111010900,서울특별시,종로구,누상동,,"261,804",0,0,0,0,"187,725",0,0,"45,293",0,"15,960","1,217",0,0,"10,422",0,0,0,"1,187",0,0,0,0,0,0,0,0,0,0
1111011000,서울특별시,종로구,누하동,,"56,392",0,0,0,0,0,0,0,"30,463",0,"14,186",0,0,0,"11,383",0,0,50,311,0,0,0,0,0,0,0,0,0,0
1111011100,서울특별시,종로구,옥인동,,"414,843",0,0,0,0,"232,424",0,0,"109,612",0,0,0,0,0,"23,761",0,0,827,"1,131",0,0,0,"47,088",0,0,0,0,0,0
1111011200,서울특별시,종로구,체부동,,"45,189",0,0,0,0,0,0,0,"37,520",0,0,0,0,0,"4,148",0,0,645,"2,677",0,0,0,0,0,0,198,0,0,0
1111011300,서울특별시,종로구,필운동,,"86,208",0,0,0,0,"9,809",0,0,"38,087",0,"20,065",337,0,0,"15,170",0,0,0,187,0,0,0,0,0,0,"2,551",0,0,0
1111011400,서울특별시,종로구,내자동,,"52,260",0,0,0,0,0,0,0,"35,311",0,0,0,0,0,"15,526",0,0,0,"1,422",0,0,0,0,0,0,0,0,0,0
1111011500,서울특별시,종로구,사직동,,"284,142",0,0,0,0,"81,951",0,0,"86,926",0,"4,033",0,618,0,"42,492",0,0,0,"1,544",0,0,0,"66,579",0,0,0,0,0,0
1111011600,서울특별시,종로구,도렴동,,"29,141",0,0,0,0,0,0,0,"19,477",0,0,0,0,0,"6,649",0,0,0,"1,285",0,0,0,0,0,0,"1,730",0,0,0
1111011700,서울특별시,종로구,당주동,,"43,219",0,0,0,0,0,0,0,"28,450",0,0,40,0,0,"11,952",0,0,0,620,0,0,0,"2,157",0,0,0,0,0,0
1111011800,서울특별시,종로구,내수동,,"70,395",0,0,0,0,0,0,0,"50,411",0,0,0,0,0,"13,444",0,0,0,"1,153",0,0,0,"5,387",0,0,0,0,0,0
1111011900,서울특별시,종로구,세종로,,"888,697",0,0,0,0,0,0,0,"435,968",0,0,0,0,0,"129,839",0,0,"6,879",299,0,0,0,0,0,0,0,"315,711",0,0
1111012000,서울특별시,종로구,신문로1가,,"65,594",0,0,0,0,0,0,0,"34,686",0,0,230,0,0,"26,371",0,0,0,537,0,0,0,794,0,0,"2,927",0,0,50
1111012100,서울특별시,종로구,신문로2가,,"256,484",0,0,0,0,0,0,0,"221,027",0,63,0,0,0,"33,583",0,0,0,122,0,0,0,"1,225",0,0,0,464,0,0
1111012200,서울특별시,종로구,청진동,,"61,625",0,0,0,0,0,0,0,"46,384",0,0,0,0,0,"13,191",0,0,626,377,0,0,0,802,0,0,246,0,0,0
1111012300,서울특별시,종로구,서린동,,"47,250",0,0,0,0,0,0,0,"26,342",0,0,770,0,0,"15,394",0,0,"3,342",0,0,0,0,"1,277",0,0,0,0,0,126
1111012400,서울특별시,종로구,수송동,,"98,524",0,0,0,0,0,0,0,"73,690",0,0,0,0,0,"14,512",0,0,835,279,0,0,0,"3,638",0,0,"5,570",0,0,0
1111012500,서울특별시,종로구,중학동,,"30,639",0,0,0,0,0,0,0,"15,108",0,0,0,0,0,"13,898",0,0,"1,534",99,0,0,0,0,0,0,0,0,0,0
1111012600,서울특별시,종로구,종로1가,,"28,456",0,0,0,0,0,0,0,"6,143",0,0,0,0,0,"21,946",0,0,367,0,0,0,0,0,0,0,0,0,0,0
1111012700,서울특별시,종로구,공평동,,"38,673",0,0,0,0,0,0,0,"28,591",0,0,0,0,0,"10,071",0,0,0,12,0,0,0,0,0,0,0,0,0,0
1111012800,서울특별시,종로구,관훈동,,"73,346",0,0,0,0,0,0,0,"56,548",0,0,0,0,0,"15,511",0,0,0,"1,287",0,0,0,0,0,0,0,0,0,0
1111012900,서울특별시,종로구,견지동,,"46,357",0,0,0,0,0,0,0,"28,772",0,0,0,0,0,"15,099",0,0,0,608,0,0,0,0,0,0,"1,878",0,0,0
1111013000,서울특별시,종로구,와룡동,,"707,461",0,0,0,0,"5,596",0,0,"33,266",0,0,384,"1,026",0,"29,375",0,0,"1,421",620,0,0,0,0,0,0,0,"635,773",0,0
1111013100,서울특별시,종로구,권농동,,"34,356",0,0,0,0,0,0,0,"15,203",0,0,0,0,0,"10,912",0,0,50,290,0,0,0,"7,902",0,0,0,0,0,0
1111013200,서울특별시,종로구,운니동,,"69,916",0,0,0,0,0,0,0,"56,844",0,0,0,0,0,"13,019",0,0,0,53,0,0,0,0,0,0,0,0,0,0
1111013300,서울특별시,종로구,익선동,,"46,498",0,0,0,0,0,0,0,"38,401",0,0,0,0,0,"7,466",0,0,0,631,0,0,0,0,0,0,0,0,0,0
1111013400,서울특별시,종로구,경운동,,"57,152",0,0,0,0,0,0,0,"25,695",0,"9,136",0,497,0,"16,987",0,0,0,819,0,0,0,0,0,0,"4,019",0,0,0
1111013500,서울특별시,종로구,관철동,,"80,573",0,0,0,0,0,0,0,"46,379",0,0,85,0,0,"27,798",0,0,"4,735",240,0,0,0,"1,337",0,0,0,0,0,0
1111013600,서울특별시,종로구,인사동,,"69,744",0,0,0,0,0,0,0,"45,512",0,0,0,0,0,"16,241",0,0,0,"1,062",0,0,0,"1,060",0,0,"5,869",0,0,0
1111013700,서울특별시,종로구,낙원동,,"73,125",0,0,0,0,0,0,0,"52,018",0,0,0,0,0,"18,886",0,0,0,"1,557",0,0,0,0,0,0,666,0,0,0
1111013800,서울특별시,종로구,종로2가,,"59,331",0,0,0,0,0,0,0,"16,969",0,0,0,0,0,"29,352",0,0,0,506,0,0,0,"1,412",0,0,0,"11,092",0,0
1111013900,서울특별시,종로구,팔판동,,"41,467",0,0,0,0,0,0,0,"27,017",0,0,0,0,0,"11,520",0,0,"1,927",55,0,0,0,0,0,0,947,0,0,0
1111014000,서울특별시,종로구,삼청동,,"1,186,803",0,0,0,0,"953,152",0,0,"187,927",0,"3,966",0,0,0,"30,284",0,0,"8,294","2,305",0,0,0,0,0,0,820,0,0,56
1111014100,서울특별시,종로구,안국동,,"68,134",0,0,0,0,0,0,0,"42,497",0,"13,840",0,0,0,"9,421",16,0,0,260,0,0,0,0,0,0,"2,100",0,0,0
1111014200,서울특별시,종로구,소격동,,"61,336",0,0,0,0,0,0,0,"50,740",0,0,0,0,0,"7,991",0,0,"2,585",20,0,0,0,0,0,0,0,0,0,0
1111014300,서울특별시,종로구,화동,,"58,289",0,0,0,0,0,0,0,"51,558",0,0,0,0,0,"6,041",0,0,541,149,0,0,0,0,0,0,0,0,0,0
1111014400,서울특별시,종로구,사간동,,"28,910",0,0,0,0,0,0,0,"23,772",0,0,0,0,0,"3,211",0,0,"1,190",0,0,0,0,0,0,0,737,0,0,0
1111014500,서울특별시,종로구,송현동,,"45,485",0,0,0,0,0,0,0,"37,082",0,0,0,0,0,"8,046",0,0,0,357,0,0,0,0,0,0,0,0,0,0
1111014600,서울특별시,종로구,가회동,,"158,099",0,0,0,0,"3,379",0,0,"118,068",0,"8,224",336,0,0,"27,954",0,0,0,139,0,0,0,0,0,0,0,0,0,0
1111014700,서울특별시,종로구,재동,,"53,276",0,0,0,0,0,0,0,"37,910",0,"2,531",0,0,0,"12,549",0,0,0,287,0,0,0,0,0,0,0,0,0,0
1111014800,서울특별시,종로구,계동,,"173,819",0,0,0,0,"18,814",0,0,"82,776",0,"55,364",0,0,0,"15,990",0,0,0,875,0,0,0,0,0,0,0,0,0,0
1111014900,서울특별시,종로구,원서동,,"156,274",0,0,0,0,"45,122",0,0,"64,695",0,"7,626",0,0,0,"15,744",0,0,0,"1,965",0,0,0,"2,305",0,0,0,"18,817",0,0
