시도,시군구,읍면동,리,행정구역코드,총계_업소수(개),총계_시설 면적(㎡),총계_사료사용량(kg/월),가두리_업소수(개),가두리_시설 면적(㎡),가두리_사료사용량(kg/월),유수식_업소수(개),유수식_시설 면적(㎡),유수식_사료사용량(kg/월),도전양식_업소수(개),도전양식_시설 면적(㎡),도전양식_사료사용량(kg/월),지수식_업소수(개),지수식_시설 면적(㎡),지수식_사료사용량(kg/월)
부산광역시,강서구,대저2동,,2644010200,14,"44,975","11,244",0,0,0,0,0,0,0,0,0,14,"44,975","11,244"
부산광역시,강서구,강동동,,2644010300,4,"14,987","3,747",0,0,0,0,0,0,0,0,0,4,"14,987","3,747"
부산광역시,강서구,명지동,,2644010400,5,"27,486","6,872",0,0,0,0,0,0,0,0,0,5,"27,486","6,872"
부산광역시,강서구,봉림동,,2644010800,8,"23,962","5,991",0,0,0,0,0,0,0,0,0,8,"23,962","5,991"
부산광역시,강서구,범방동,,2644011600,1,"4,933","1,233",0,0,0,0,0,0,0,0,0,1,"4,933","1,233"
부산광역시,기장군,기장읍,대변리,2671025028,1,"1,719",17,0,0,0,1,"1,719",17,0,0,0,0,0,0
부산광역시,기장군,기장읍,만화리,2671025030,1,"1,320",0,0,0,0,1,"1,320",0,0,0,0,0,0,0
부산광역시,기장군,기장읍,내리,2671025034,2,"1,351",54,0,0,0,2,"1,351",54,0,0,0,0,0,0
부산광역시,기장군,장안읍,장안리,2671025325,1,570,38,0,0,0,1,570,38,0,0,0,0,0,0
부산광역시,기장군,장안읍,명례리,2671025329,1,853,46,0,0,0,1,853,46,0,0,0,0,0,0
부산광역시,기장군,장안읍,월내리,2671025330,1,"1,500",29,0,0,0,1,"1,500",29,0,0,0,0,0,0
부산광역시,기장군,장안읍,길천리,2671025334,1,"1,075",33,0,0,0,1,"1,075",33,0,0,0,0,0,0
부산광역시,기장군,일광면,이천리,2671031022,7,"9,485",245,0,0,0,7,"9,485",245,0,0,0,0,0,0
부산광역시,기장군,일광면,학리,2671031023,3,"7,611",108,0,0,0,3,"7,611",108,0,0,0,0,0,0
부산광역시,기장군,일광면,동백리,2671031024,2,"7,577",79,0,0,0,2,"7,577",79,0,0,0,0,0,0
부산광역시,기장군,일광면,화전리,2671031031,1,"1,422",38,0,0,0,1,"1,422",38,0,0,0,0,0,0
인천광역시,서구,마전동,,2826011300,1,"1,012",0,1,"1,012",0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,화도면,흥왕리,2871034027,1,"2,408",720,0,0,0,0,0,0,0,0,0,1,"2,408",720
대전광역시,서구,오동,,3017012200,1,"1,597","2,433",0,0,0,0,0,0,0,0,0,1,"1,597","2,433"
울산광역시,북구,당사동,,3120011600,1,"1,032","3,042",1,"1,032","3,042",0,0,0,0,0,0,0,0,0
울산광역시,울주군,서생면,신암리,3171031021,6,"24,911","102,000",0,0,0,6,"24,911","102,000",0,0,0,0,0,0
울산광역시,울주군,서생면,대송리,3171031025,2,"9,347","25,000",0,0,0,2,"9,347","25,000",0,0,0,0,0,0
울산광역시,울주군,서생면,진하리,3171031028,3,"8,554","31,250",0,0,0,3,"8,554","31,250",0,0,0,0,0,0
울산광역시,울주군,서생면,화정리,3171031029,1,"2,738",225,0,0,0,0,0,0,0,0,0,1,"2,738",225
세종특별자치시,,조치원읍,신안리,3611025032,1,630,0,0,0,0,0,0,0,0,0,0,1,630,0
세종특별자치시,,조치원읍,봉산리,3611025033,2,"1,930",31,0,0,0,0,0,0,0,0,0,2,"1,930",31
세종특별자치시,,연동면,응암리,3611032024,1,724,17,0,0,0,0,0,0,0,0,0,1,724,17
세종특별자치시,,연동면,합강리,3611032028,1,"3,098",50,0,0,0,0,0,0,0,0,0,1,"3,098",50
세종특별자치시,,금남면,성덕리,3611034040,1,630,0,0,0,0,0,0,0,0,0,0,1,630,0
세종특별자치시,,금남면,영곡리,3611034041,1,671,0,0,0,0,0,0,0,0,0,0,1,671,0
세종특별자치시,,금남면,국곡리,3611034044,1,"4,748",42,0,0,0,0,0,0,0,0,0,1,"4,748",42
세종특별자치시,,금남면,도남리,3611034046,1,"2,387",33,0,0,0,0,0,0,0,0,0,1,"2,387",33
세종특별자치시,,연서면,쌍류리,3611036026,1,"1,407",9,0,0,0,1,"1,407",9,0,0,0,0,0,0
세종특별자치시,,연서면,기룡리,3611036028,1,"2,454",163,0,0,0,1,"2,454",163,0,0,0,0,0,0
세종특별자치시,,연서면,국촌리,3611036030,1,"3,740",101,0,0,0,0,0,0,0,0,0,1,"3,740",101
