처리시설명,시도,시군구,읍면동,리,측정일자,발생 유량(㎥/일),방류 유량(㎥/일),발생 수질 농도_BOD(mg/L),발생 수질 농도_COD(mg/L),발생 수질 농도_TN(mg/L),발생 수질 농도_TP(mg/L),방류 수질 농도_BOD(mg/L),방류 수질 농도_COD(mg/L),방류 수질 농도_TN(mg/L),방류 수질 농도_TP(mg/L),연계처리시설명,이송방법,처리유형,배출허용기준적용지역,가동여부
난지도매립지,서울특별시,마포구,상암동,,2012-01-31,"2,012","2,012",26.8,125.3,,0.571,26.8,125.3,,0.571,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-02-28,"1,600","1,600",7.9,101.6,,0.437,7.9,101.6,,0.437,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-03-31,"1,539","1,539",17.5,153.7,,0.315,17.5,153.7,,0.315,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-04-30,"1,509","1,509",6,75.1,,0.426,6,75.1,,0.426,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-05-31,"1,342","1,342",9.2,105,,0.194,9.2,105,,0.194,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-06-30,"1,361","1,361",15,160.2,,0.239,15,160.2,,0.239,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-07-31,"1,515","1,515",12.7,117.7,,0.186,12.7,117.7,,0.186,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-08-31,"1,623","1,623",29.4,148.6,,0.577,29.4,148.6,,0.577,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-09-30,"1,717","1,717",16.1,169.7,,0.269,16.1,169.7,,0.269,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-10-31,"1,679","1,679",15.7,142.8,,0.32,15.7,142.8,,0.32,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-11-30,"1,688","1,688",14.3,42.6,,0.164,14.3,42.6,,0.164,난지물재생센터,관거이송,무처리종말,나지역,비가동
난지도매립지,서울특별시,마포구,상암동,,2012-12-31,"1,471","1,471",19.3,111.2,,0.16,19.3,111.2,,0.16,난지물재생센터,관거이송,무처리종말,나지역,비가동
석대매립장,부산광역시,해운대구,석대동,,2012-04-27,658,658,14.1,19,100.9,0.127,14.1,19,100.9,0.127,수영하수종말처리장,관거이송,무처리종말,나지역,비가동
석대매립장,부산광역시,해운대구,석대동,,2012-09-21,818,818,17.7,31.6,127.3,0.268,17.7,31.6,127.3,0.268,수영하수종말처리장,관거이송,무처리종말,나지역,비가동
석대매립장,부산광역시,해운대구,석대동,,2012-12-18,616,616,10.4,31.1,109.2,0.456,10.4,31.1,109.2,0.456,수영하수종말처리장,관거이송,무처리종말,나지역,비가동
생곡쓰레기매립장,부산광역시,강서구,생곡동,,2012-01-05,999,960,1968.7,7,,16.08,10.2,613.9,,0.4,강변하수종말처리장,관거이송,처리후종말,가지역,가동
생곡쓰레기매립장,부산광역시,강서구,생곡동,,2012-02-02,851,550,2933.2,3303.3,,6.2,15,460.5,,0.96,강변하수종말처리장,관거이송,처리후종말,가지역,가동
