시도,시군구,읍면동,리,행정구역코드,총계(개소),골프장,금은판매점의 세공시설,농축수산물단순가공시설,사진처리 또는 X-Ray 시설,안경점,운수장비정비시설(폐차장포함)
서울특별시,종로구,경운동,,1111013400,1,0,0,0,1,0,0
서울특별시,종로구,계동,,1111014800,2,0,0,0,2,0,0
서울특별시,종로구,관철동,,1111013500,1,0,1,0,0,0,0
서울특별시,종로구,관훈동,,1111012800,1,0,0,0,1,0,0
서울특별시,종로구,교남동,,1111017600,3,0,0,0,3,0,0
서울특별시,종로구,교북동,,1111018000,2,0,0,0,2,0,0
서울특별시,종로구,권농동,,1111013100,16,0,16,0,0,0,0
서울특별시,종로구,낙원동,,1111013700,8,0,8,0,0,0,0
서울특별시,종로구,내수동,,1111011800,2,0,0,0,2,0,0
서울특별시,종로구,내자동,,1111011400,3,0,0,0,3,0,0
서울특별시,종로구,돈의동,,1111015300,12,0,12,0,0,0,0
서울특별시,종로구,동숭동,,1111016800,2,0,0,0,2,0,0
서울특별시,종로구,명륜1가,,1111017000,1,0,0,0,1,0,0
서울특별시,종로구,명륜2가,,1111017100,3,0,0,0,3,0,0
서울특별시,종로구,명륜3가,,1111017300,2,0,0,0,2,0,0
서울특별시,종로구,명륜4가,,1111017200,1,0,0,0,1,0,0
서울특별시,종로구,묘동,,1111015100,28,0,28,0,0,0,0
서울특별시,종로구,무악동,,1111018700,1,0,0,0,1,0,0
서울특별시,종로구,봉익동,,1111015200,95,0,95,0,0,0,0
서울특별시,종로구,서린동,,1111012300,2,0,0,0,2,0,0
서울특별시,종로구,세종로,,1111011900,3,0,0,0,3,0,0
서울특별시,종로구,숭인동,,1111017500,11,0,0,0,11,0,0
서울특별시,종로구,신문로1가,,1111012000,2,0,0,0,2,0,0
서울특별시,종로구,신영동,,1111018600,1,0,0,0,1,0,0
서울특별시,종로구,안국동,,1111014100,1,0,0,0,1,0,0
서울특별시,종로구,연건동,,1111016600,2,0,1,0,1,0,0
서울특별시,종로구,연지동,,1111016000,50,0,49,0,1,0,0
서울특별시,종로구,예지동,,1111015800,30,0,30,0,0,0,0
서울특별시,종로구,옥인동,,1111011100,1,0,0,0,1,0,0
서울특별시,종로구,와룡동,,1111013000,10,0,10,0,0,0,0
서울특별시,종로구,운니동,,1111013200,2,0,2,0,0,0,0
서울특별시,종로구,원남동,,1111015900,42,0,42,0,0,0,0
서울특별시,종로구,이화동,,1111016500,1,0,0,0,1,0,0
서울특별시,종로구,익선동,,1111013300,5,0,4,0,1,0,0
서울특별시,종로구,인의동,,1111015700,31,0,31,0,0,0,0
서울특별시,종로구,적선동,,1111010700,2,0,0,0,2,0,0
서울특별시,종로구,종로1가,,1111012600,4,0,0,0,4,0,0
서울특별시,종로구,종로2가,,1111013800,4,0,0,0,4,0,0
서울특별시,종로구,종로3가,,1111015600,10,0,9,0,1,0,0
서울특별시,종로구,종로4가,,1111016100,5,0,3,0,2,0,0
서울특별시,종로구,종로5가,,1111016300,2,0,1,0,1,0,0
서울특별시,종로구,종로6가,,1111016400,2,0,1,0,1,0,0
서울특별시,종로구,중학동,,1111012500,1,0,0,0,1,0,0
서울특별시,종로구,창성동,,1111010500,1,0,0,0,1,0,0
서울특별시,종로구,창신동,,1111017400,12,0,0,0,12,0,0
서울특별시,종로구,청진동,,1111012200,2,0,0,0,2,0,0
서울특별시,종로구,체부동,,1111011200,2,0,0,0,2,0,0
서울특별시,종로구,통의동,,1111010600,2,0,0,0,2,0,0
서울특별시,종로구,통인동,,1111010800,2,0,0,0,2,0,0
서울특별시,종로구,평창동,,1111018300,5,0,0,0,5,0,0
서울특별시,종로구,필운동,,1111011300,2,0,0,0,2,0,0
서울특별시,종로구,행촌동,,1111018100,1,0,0,0,1,0,0
서울특별시,종로구,혜화동,,1111016900,1,0,0,0,1,0,0
