처리시설명,처리시설코드,구분,시도,시군구,읍면동,리,행정구역코드,시설용량(㎥/일)_물리적,시설용량(㎥/일)_생물학적,시설용량(㎥/일)_고도,시설용량 합,처리공정_전처리,처리공정_1차,처리공정_2차,처리공정_3차,가동개시일자,가동율(%),가동일수,방류수수질적용기준지역구분,재이용량(㎥/일)_계,재이용량(㎥/일)_조경수,재이용량(㎥/일)_세척수(축봉수포함),재이용량(㎥/일)_공정재이용,재이용량(㎥/일)_기타
중랑물재생센터(분뇨),112000F01,가동중,서울특별시,성동구,송정동,,1120011800,"4,000",,,"4,000",미세협잡물분리기,중력농축조,기계농축기,가압부상조,1976-12-23,91,365,III,0,,,,
중랑물재생센터,112000W01,가동중,서울특별시,성동구,송정동,,1120011800,,"350,000","1,240,000","1,590,000",침사지,침전지,"활성슬러지법, A2O공법","여과,오존소독",1976-09-21,78.6,365,III,40452,,,24707,15745
서남물재생센터(분뇨),115000F01,가동중,서울특별시,강서구,마곡동,,1150010500,,"2,000",,"2,000",중력농축,상징수 별도처리,혐기성 소화조,,1988-06-30,141.6,366,,0,,,,
서남물재생센터,115000W01,가동중,서울특별시,강서구,마곡동,,1150010500,,"2,000,000",,"2,000,000",침사지,최초침전지,생물반응조,,1995-06-30,83.1,366,III,8880,,5185,1672,2023
탄천물재생센터,116800W01,가동중,서울특별시,강남구,일원동,,1168011400,,"900,000",,"900,000",침사지,1차침전,MLE공법,MDF(여과),1987-12-09,88.2,365,III,63625,0,13680,49896,49
부산중앙하수처리장,261400W01,가동중,부산광역시,서구,암남동,,2614012400,,,"120,000","120,000",침사지,응집침전지,BIOFOR,,2006-01-01,74.6,365,IV,19497,150,17320,868,1159
영도하수종말처리시설,262000W01,가동중,부산광역시,영도구,동삼동,,2620012100,,,"95,000","95,000",침사지,1차침전,KSBNRⓜ,2차침전,2006-01-01,40.9,366,IV,338,38,180,29,91
수영하수종말처리장,262600W01,가동중,부산광역시,동래구,안락동,,2626010200,,"452,000",,"452,000",침사지,1차침전,"활성슬러지공법,MLE공법",,1988-05-01,80,365,IV,25494,33,5477,4977,15007
남부하수종말처리장,262900W01,가동중,부산광역시,남구,용호동,,2629010700,,"340,000",,"340,000",,,,,1996-06-01,100,365,,7170,,3430,1717,2023
동부하수처리장,263500W02,가동중,부산광역시,해운대구,재송동,,2635010400,,,"135,000","135,000",침사지,침전조,탈질조,질산화조,2006-10-27,80.9,366,IV,11941,,,187,11754
