위치,쉼터명칭,쉼터유형,이용가능인원
제주특별자치도 제주시 한림읍 강구로 92,강구리경로당,노인시설,36
제주특별자치도 제주시 한림읍 금악로 2,금악리경로당,노인시설,33
제주특별자치도 제주시 한림읍 명월로 102,명월리경로당,노인시설,34
제주특별자치도 제주시 한림읍 한림로 509-3,옹포리경로당,노인시설,30
제주특별자치도 제주시 한림읍 한림로 741,한수리경로당,노인시설,53
제주특별자치도 제주시 한림읍 한림로 403-1,협재리경로당,노인시설,73
제주특별자치도 제주시 한림읍 한림중앙로 62,동명리경로당,노인시설,22
제주특별자치도 제주시 한림읍 한림해안로 156,한림1리경로당,노인시설,31
제주특별자치도 제주시 한림읍 한수풀로 180,대림리경로당,노인시설,28
제주특별자치도 제주시 한림읍 한수풀로 337,귀덕3리경로당,노인시설,45
제주특별자치도 제주시 한림읍 중산간서로 3876,월림리경로당,노인시설,41
제주특별자치도 제주시 한림읍 중산간서로 4960,상대리경로당,노인시설,26
제주특별자치도 제주시 한림읍 귀덕14길 60,귀덕1리경로당,노인시설,36
제주특별자치도 제주시 한림읍 귀덕3길 40,귀덕2리경로당,노인시설,51
제주특별자치도 제주시 한림읍 금능길 39,금능리경로당,노인시설,56
제주특별자치도 제주시 한림읍 대림4길 20(한림주공아파트),한림주공경로당,노인시설,21
제주특별자치도 제주시 한림읍 명랑로4길 2,한림2리경로당,노인시설,34
제주특별자치도 제주시 한림읍 상명1길 16-1,상명리경로당,노인시설,55
제주특별자치도 제주시 한림읍 수원9길 2,수원리경로당,노인시설,44
제주특별자치도 제주시 한림읍 월령1길 11,월령리경로당,노인시설,41
제주특별자치도 제주시 한림읍 장원길 87,한림3리경로당,노인시설,34
제주특별자치도 제주시 한림읍 비양도길 6,비양리경로당,노인시설,12
제주특별자치도 제주시 애월읍 광성로 61-1,고성1리경로당,노인시설,45
제주특별자치도 제주시 애월읍 광성로 298-1,광령1리경로당,노인시설,50
제주특별자치도 제주시 애월읍 봉성로 75,봉성리경로당,노인시설,58
제주특별자치도 제주시 애월읍 신용로 142,용흥리경로당,노인시설,40
제주특별자치도 제주시 애월읍 애월로 68,애월리경로당,노인시설,70
제주특별자치도 제주시 애월읍 애조로 234,상귀리경로당,노인시설,30
제주특별자치도 제주시 애월읍 어림비로 184,어음1리경로당,노인시설,10
제주특별자치도 제주시 애월읍 천덕로 38-9,곽지리경로당,노인시설,50
제주특별자치도 제주시 애월읍 하가로 141,하가리경로당,노인시설,20
제주특별자치도 제주시 애월읍 하광로 471,광령2리경로당,노인시설,45
제주특별자치도 제주시 애월읍 하소로 163,수산리경로당,노인시설,60
제주특별자치도 제주시 애월읍 중산간서로 6703-11(제일빌리지),제일 빌리지 경로당,노인시설,10
제주특별자치도 제주시 애월읍 고내3길 15,고내리경로당,노인시설,33
제주특별자치도 제주시 애월읍 고성남길 3,고성2리경로당,노인시설,15
제주특별자치도 제주시 애월읍 고성서3길 15-5(제주고성휴먼시아),고성 휴먼시아경로당,노인시설,20
제주특별자치도 제주시 애월읍 광령자종길 1,광령3리경로당,노인시설,40
제주특별자치도 제주시 애월읍 구엄3길 19,구엄리경로당,노인시설,50
제주특별자치도 제주시 애월읍 금성2길 24,금성리경로당,노인시설,45
